group;team;position;matches_played;matches_won;matches_drawn;matches_lost;goals_for;goals_against;points
A;Brazil;1;0;0;0;0;0;0;0
A;Croatia;2;0;0;0;0;0;0;0
A;Mexico;3;0;0;0;0;0;0;0
A;Cameroon;4;0;0;0;0;0;0;0
B;Spain;1;0;0;0;0;0;0;0
B;Netherlands;2;0;0;0;0;0;0;0
B;Chile;3;0;0;0;0;0;0;0
B;Australia;4;0;0;0;0;0;0;0
C;Colombia;1;0;0;0;0;0;0;0
C;Greece;2;0;0;0;0;0;0;0
C;Ivory Coast;3;0;0;0;0;0;0;0
C;Japan;4;0;0;0;0;0;0;0
D;Uruguay;1;0;0;0;0;0;0;0
D;Costa Rica;2;0;0;0;0;0;0;0
D;England;3;0;0;0;0;0;0;0
D;Italy;4;0;0;0;0;0;0;0
E;Switzerland;1;0;0;0;0;0;0;0
E;Ecuador;2;0;0;0;0;0;0;0
E;France;3;0;0;0;0;0;0;0
E;Honduras;4;0;0;0;0;0;0;0
F;Argentina;1;0;0;0;0;0;0;0
F;Bosnia and H;2;0;0;0;0;0;0;0
F;Iran;3;0;0;0;0;0;0;0
F;Nigeria;4;0;0;0;0;0;0;0
G;Germany;1;0;0;0;0;0;0;0
G;Portugal;2;0;0;0;0;0;0;0
G;Ghana;3;0;0;0;0;0;0;0
G;United States;4;0;0;0;0;0;0;0
H;Belgium;1;0;0;0;0;0;0;0
H;Algeria;2;0;0;0;0;0;0;0
H;Russia;3;0;0;0;0;0;0;0
H;South Korea;4;0;0;0;0;0;0;0
